service_id,date,exception_type
2515-4-2005122025-7IO#CHD6,20251216,2
2515-4-2005122025-7IO#CHD6,20251217,2
2515-4-2005122025-7IO#CHD6,20251218,2
2515-4-2005122025-7IO#CHD6,20251219,2
2515-4-2005122025-7IO#CHD6,20251220,2
2515-4-2005122025-7IO#CHD6,20251221,2
2548-3-2000052026-CHD6#MSD6,20260506,2
2548-3-2000052026-CHD6#MSD6,20260513,2
2548-3-2000052026-CHD6#MSD6,20260520,2
2548-4-1645052026-MSD6#CHD6,20260505,2
2548-4-1645052026-MSD6#CHD6,20260512,2
2548-4-1645052026-MSD6#CHD6,20260519,2
2552-1-1545012026-DET6#CHD6,20260120,2
2552-1-1545012026-DET6#CHD6,20260127,2
2552-1-1545022026-DET6#CHD6,20260203,2
2552-1-1545022026-DET6#CHD6,20260210,2
2552-1-1545022026-DET6#CHD6,20260217,2
2552-2-1530012026-CHD6#DET6,20260121,2
2552-2-1530012026-CHD6#DET6,20260128,2
2552-2-1530022026-CHD6#DET6,20260204,2
2552-2-1530022026-CHD6#DET6,20260211,2
2552-2-1530022026-CHD6#DET6,20260218,2
2601-11-1845032026-DCD6#6MT,20260310,2
2601-11-1845032026-DCD6#6MT,20260317,2
2601-11-1845032026-DCD6#6MT,20260324,2
2601-11-1945122025-DCD6#6MT,20251216,2
2601-11-1945122025-DCD6#6MT,20251217,2
2601-132-1115052026-NWK6#DCD6,20260505,2
2601-132-1115052026-NWK6#DCD6,20260506,2
2601-132-1115052026-NWK6#DCD6,20260512,2
2601-132-1115052026-NWK6#DCD6,20260513,2
2601-132-1215122025-NWK6#DCD6,20251216,2
2601-132-1215122025-NWK6#DCD6,20251217,2
2601-133-1635052026-DCD6#NWK6,20260505,2
2601-133-1635052026-DCD6#NWK6,20260506,2
2601-133-1635052026-DCD6#NWK6,20260512,2
2601-133-1635052026-DCD6#NWK6,20260513,2
2601-133-1735122025-DCD6#NWK6,20251216,2
2601-133-1735122025-DCD6#NWK6,20251217,2
2601-138-2030122025-NWK6#DCD6,20251216,2
2601-138-2030122025-NWK6#DCD6,20251217,2
2601-139-1335122025-DCD6#NWK6,20251216,2
2601-139-1335122025-DCD6#NWK6,20251217,2
2601-151-1300032026-DCD6#6MT,20260310,2
2601-151-1300032026-DCD6#6MT,20260317,2
2601-151-1300032026-DCD6#6MT,20260324,2
2601-151-1400122025-DCD6#6MT,20251216,2
2601-151-1400122025-DCD6#6MT,20251217,2
2601-15-1900122025-DCD6#6NY,20251217,2
2601-184-1930032026-6MT#DCD6,20260310,2
2601-184-1930032026-6MT#DCD6,20260317,2
2601-184-1930032026-6MT#DCD6,20260324,2
2601-184-2030122025-6MT#DCD6,20251216,2
2601-184-2030122025-6MT#DCD6,20251217,2
2601-193-1930052026-DCD6#6NYY,20260504,2
2601-193-1930052026-DCD6#6NYY,20260507,2
